========== lnsp 最优层级性能指标 ==========
最优层级: 40 (MAE=0.000032)
最优层级RMSE: 0.000039
最优层级R²: 0.000000
最优层级MSE: 0.000000

========== 80层MAE分布 ==========
层级0: MAE=0.023349
层级1: MAE=0.000168
层级2: MAE=0.000137
层级3: MAE=0.000109
层级4: MAE=0.000095
层级5: MAE=0.000086
层级6: MAE=0.000075
层级7: MAE=0.000070
层级8: MAE=0.000063
层级9: MAE=0.000060
层级10: MAE=0.000055
层级11: MAE=0.000052
层级12: MAE=0.000049
层级13: MAE=0.000047
层级14: MAE=0.000044
层级15: MAE=0.000043
层级16: MAE=0.000042
层级17: MAE=0.000040
层级18: MAE=0.000040
层级19: MAE=0.000039
层级20: MAE=0.000038
层级21: MAE=0.000037
层级22: MAE=0.000037
层级23: MAE=0.000036
层级24: MAE=0.000036
层级25: MAE=0.000035
层级26: MAE=0.000034
层级27: MAE=0.000035
层级28: MAE=0.000034
层级29: MAE=0.000034
层级30: MAE=0.000034
层级31: MAE=0.000034
层级32: MAE=0.000033
层级33: MAE=0.000033
层级34: MAE=0.000034
层级35: MAE=0.000034
层级36: MAE=0.000033
层级37: MAE=0.000032
层级38: MAE=0.000033
层级39: MAE=0.000033
层级40: MAE=0.000032
层级41: MAE=0.000033
层级42: MAE=0.000033
层级43: MAE=0.000032
层级44: MAE=0.000033
层级45: MAE=0.000033
层级46: MAE=0.000033
层级47: MAE=0.000033
层级48: MAE=0.000033
层级49: MAE=0.000034
层级50: MAE=0.000033
层级51: MAE=0.000033
层级52: MAE=0.000033
层级53: MAE=0.000034
层级54: MAE=0.000034
层级55: MAE=0.000033
层级56: MAE=0.000034
层级57: MAE=0.000033
层级58: MAE=0.000033
层级59: MAE=0.000034
层级60: MAE=0.000034
层级61: MAE=0.000034
层级62: MAE=0.000033
层级63: MAE=0.000034
层级64: MAE=0.000034
层级65: MAE=0.000034
层级66: MAE=0.000034
层级67: MAE=0.000034
层级68: MAE=0.000034
层级69: MAE=0.000033
层级70: MAE=0.000034
层级71: MAE=0.000034
层级72: MAE=0.000034
层级73: MAE=0.000034
层级74: MAE=0.000034
层级75: MAE=0.000035
层级76: MAE=0.000035
层级77: MAE=0.000035
层级78: MAE=0.000035
层级79: MAE=0.000035
